layer,bin_x,bin_y,s1_mean,s1_std,s2_mean,s2_std,s3_mean,s3_std,s3_max,s4_mean,s4_std,s5_mean,s5_std,porosity,spatter,super_elevation
0,0,0,0.17100062457242346,0.003116367857087195,89.10796467088804,1.2095754534218335,1377.836402390813,52.669245614450105,1486.6062778531548,0.5279276536359481,0.31307266094266045,148.8247525504558,4.098241047915521,1,0,0
0,0,1,0.17100062457242346,0.003116367857087195,89.10796467088804,1.2095754534218335,1398.3319929830482,46.64262270816225,1481.9339342147298,0.49482955498803044,0.3224176039584995,148.8247525504558,4.098241047915521,1,0,0
0,0,2,0.17100062457242346,0.003116367857087195,89.10796467088804,1.2095754534218335,1389.480324207328,52.93803553759344,1507.0169669475367,0.5407209036538743,0.31740098496139707,148.8247525504558,4.098241047915521,1,0,0
0,0,3,0.17100062457242346,0.003116367857087195,89.10796467088804,1.2095754534218335,1400.0650708673415,54.66261995665083,1519.8082919526453,0.4743713278592394,0.31435365423668127,148.8247525504558,4.098241047915521,1,0,0
0,1,0,0.17126978559679468,0.002205703553203509,88.65073571962915,2.0042230238950123,1376.8553228502274,51.00635042393719,1497.9992659492762,0.5457324090838602,0.3140484875541544,147.278685867943,4.470140496220305,1,0,0
0,1,1,0.17126978559679468,0.002205703553203509,88.65073571962915,2.0042230238950123,1394.9982274218078,54.41962959905205,1535.164239026385,0.4732493259751933,0.31025337453524054,147.278685867943,4.470140496220305,1,0,0
0,1,2,0.17126978559679468,0.002205703553203509,88.65073571962915,2.0042230238950123,1385.5872233316402,50.14519623086365,1489.1732740546827,0.5615647612008607,0.30881528405654696,147.278685867943,4.470140496220305,1,0,0
0,1,3,0.17126978559679468,0.002205703553203509,88.65073571962915,2.0042230238950123,1388.6515589303613,46.52326515027139,1503.2925994883612,0.48074873960340064,0.3200553418252943,147.278685867943,4.470140496220305,1,0,0
0,2,0,0.16999728391381527,0.0023406402121972504,89.21035337135352,1.72137731908379,1396.9392600676392,58.464248983106344,1537.0749012291972,0.5349589981999321,0.3194115228050242,144.73534107840527,6.140135669635067,1,0,0
0,2,1,0.16999728391381527,0.0023406402121972504,89.21035337135352,1.72137731908379,1388.5316798471645,50.425990879314796,1501.464284947982,0.4900555399506423,0.32291124689454515,144.73534107840527,6.140135669635067,1,0,0
0,2,2,0.16999728391381527,0.0023406402121972504,89.21035337135352,1.72137731908379,1402.485114646361,50.66566965508291,1510.9252034102267,0.5188130951258977,0.31906540471370115,144.73534107840527,6.140135669635067,1,0,0
0,2,3,0.16999728391381527,0.0023406402121972504,89.21035337135352,1.72137731908379,1390.002615597557,53.67506367624195,1534.9099334713605,0.5227581177419816,0.31903514755537715,144.73534107840527,6.140135669635067,1,0,0
0,3,0,0.17083361411648942,0.0028862496667265572,89.12879175170289,1.374860390907149,1396.4205860622515,47.64099200980574,1529.8585138786584,0.5042960174367881,0.32614530964381183,146.18326679049773,3.728394191280343,1,0,0
0,3,1,0.17083361411648942,0.0028862496667265572,89.12879175170289,1.374860390907149,1394.3181016237197,55.26956873925988,1522.8382886725235,0.5225903316746378,0.3186485648207802,146.18326679049773,3.728394191280343,1,0,0
0,3,2,0.17083361411648942,0.0028862496667265572,89.12879175170289,1.374860390907149,1406.4377171577073,60.32518990552414,1533.6278066289126,0.4959459259843907,0.32424394316757044,146.18326679049773,3.728394191280343,1,0,0
0,3,3,0.17083361411648942,0.0028862496667265572,89.12879175170289,1.374860390907149,1383.6409607325957,50.04900886428227,1493.457957125299,0.5262359976617234,0.30594850495020065,146.18326679049773,3.728394191280343,1,0,0
1,0,0,0.11927278156747927,0.0031816014234678164,90.19029576677096,1.8423994245568729,1286.876007629074,53.196538752331925,1436.9636766122062,0.5247619966654011,0.3130377321803824,131.43414290494425,5.0441803207661255,1,0,0
